,Preds,Actual
215,9.622952,0.387215171
216,10.279645,2.39686418
217,13.288644,2.923325907
218,13.556483,3.341044662
219,14.425203,5.392453505
220,13.81132,4.572941379
221,13.628849,4.827511545
222,6.6436553,3.72331665
223,6.5374575,1.955783013
224,6.8395934,4.41961121
225,7.7643795,5.383527976
226,8.287881,5.075967585
227,7.497545,2.655707704
228,5.986987,1.446615501
229,8.484171,6.569483202
230,6.49093,4.711852573
231,6.5595226,6.246739466
232,5.9801416,3.882115823
233,6.6855946,5.367867636
234,8.4831295,9.443241278
235,9.007151,10.71630954
236,9.223892,11.34817485
237,9.515866,13.16549143
238,7.890491,8.355456767
239,7.9233875,8.917260339
240,7.506678,8.602389964
241,6.7139754,7.896004777
242,5.2915106,4.967917773
243,4.822026,4.629147945
244,5.3422623,6.2217436
245,3.896457,0.034124076
246,4.3056035,0.034124076
247,4.372621,0.034124076
248,3.5592847,0.034124076
249,3.476421,0.717304234
250,4.9890265,2.957991237
251,3.8466194,3.736124714
252,3.550309,4.049224899
253,3.09586,3.874629704
254,3.6786702,4.998716792
255,3.2893434,4.871762065
256,3.4110632,5.150250646
257,2.846254,4.140426521
258,2.6988544,3.920089566
259,3.1796787,4.948406502
260,3.3276715,5.398632103
261,1.6919215,2.144417946
262,1.3760209,1.534424646
263,1.09673,1.06291727
264,0.621669,0.520834813
265,-0.020807236,0.034124076
266,-0.07304251,0.034124076
267,-0.060827285,0.034124076
268,0.187378,0.034124076
269,0.41362345,0.034124076
270,0.23774393,0.190975622
271,-0.008398294,0.034124076
272,0.7687721,0.034124076
273,1.0445975,0.034124076
274,1.4546938,0.545824832
275,1.1196994,0.975899253
276,2.5524986,3.057801937
277,2.671439,3.682188085
278,4.2273755,4.931594128
279,5.6401505,6.596152341
280,7.2719193,8.324527965
281,7.987041,9.019361624
282,11.443174,12.72675247
283,11.087481,13.15416913
284,9.834098,11.67548164
285,12.399412,15.02419193
286,14.762817,19.35620468
287,13.66792,18.53704314
288,14.295875,19.04774255
289,13.796391,18.94149411
290,13.894568,19.33035595
291,14.509686,20.40644904
292,12.4585495,17.35239585
293,10.591792,13.77913656
294,10.908632,14.15586286
295,10.387905,14.2164496
296,8.944335,11.91021187
297,8.5699005,11.51919933
298,8.901468,12.57261748
299,7.9975038,11.1567163
300,7.904409,10.92694395
301,9.299178,13.95380255
302,9.789856,15.97549109
303,8.214427,12.56087127
304,8.188235,12.08419017
305,7.0303736,10.20781138
306,6.30126,8.313182067
307,6.031446,7.986643022
308,5.9833236,8.023781181
309,5.2994637,6.744889961
310,3.7974432,3.579397855
311,3.5149221,2.97692965
312,3.0602212,2.442299391
313,2.792146,2.247934624
314,2.399587,1.798285778
315,1.831929,0.825527231
316,1.5088055,0.500963637
317,1.1925052,0.263436599
318,1.0792475,0.336028346
319,1.3142582,0.758224746
320,0.8244317,0.084352188
321,1.2128696,0.164319519
322,0.5949032,0.031530092
323,0.65957606,0.034124076
324,1.1180613,0.229324058
325,0.89653206,0.344265931
326,0.4205294,0.034124076
327,0.25136918,0.034124076
328,0.36398768,0.034124076
329,0.7927198,0.034124076
330,0.4578594,0.034124076
331,0.49478486,0.034124076
332,0.2758421,0.034124076
333,0.10806471,0.034124076
334,0.39591715,0.034124076
335,0.63016784,0.034124076
336,0.8367963,0.034124076
337,1.3161812,1.084975005
338,1.1718012,0.826750004
339,0.5331069,0.034124076
340,0.4329592,0.034124076
341,0.42227507,0.034124076
342,0.32738224,0.034124076
343,0.37705487,0.034124076
344,0.4560627,0.034124076
345,0.5990021,0.034124076
346,0.39462224,0.034124076
347,0.17836541,0.034124076
348,0.13111942,0.034124076
349,0.06937683,0.034124076
350,0.07563159,0.034124076
351,-0.09954423,0.034124076
352,-0.14493689,0.034124076
353,-0.18550605,0.034124076
354,-0.27780533,0.034124076
355,-0.2782464,0.034124076
356,-0.26655197,0.034124076
357,-0.22865087,0.034124076
358,-0.106891245,0.034124076
359,-0.11271685,0.034124076
360,-0.1241602,0.034124076
361,-0.018115342,0.034124076
362,0.33694208,0.034124076
363,0.21607056,0.034124076
364,0.110740215,0.034124076
