Preds,Actual
1.3838459,0.034124076
3.2508473,2.175425545
2.3340466,1.414142155
0.9321552,0.040574975
0.66310763,0.034124076
0.72510725,0.034124076
0.64501834,0.034124076
0.6805513,0.034124076
1.0933362,0.034124076
0.91478676,0.034124076
0.7188633,0.034124076
0.85067976,0.034124076
0.39824173,0.034124076
0.52477604,0.034124076
0.419097,0.034124076
0.85216165,0.034124076
1.2870576,0.034124076
1.0490977,0.034124076
2.4272692,0.206477512
2.7254221,1.480398476
2.7151785,1.588532352
2.1217914,0.928013019
3.2503583,2.499225242
3.3266168,2.396927808
2.8323905,1.747386935
4.414077,3.333625752
3.6917,2.556541917
4.3141656,2.907067428
4.4400597,2.9354958
4.4145045,2.952439011
5.2411013,3.874450199
5.265651,3.616052699
4.115732,2.330839194
3.7277625,2.074424676
3.2628887,1.691360085
3.129004,1.521988234
3.552334,1.782859933
4.1103597,2.322090851
3.5845444,1.906534374
3.0850673,1.711151779
3.9055176,2.784039268
3.8106658,2.800150056
3.632076,3.023404389
3.703861,2.909967108
5.0178313,4.282422168
5.356381,4.72398644
5.399468,4.657718321
6.543696,5.545224512
6.480757,5.294149215
7.2352633,5.91318624
7.540773,5.928660333
6.287569,4.514892989
12.564449,11.78570785
13.085978,13.17206149
12.655166,12.43976605
15.651576,15.45960036
15.216064,14.88606069
15.344456,14.60714863
16.848028,16.13508034
19.244362,18.9607003
17.53717,17.11091523
16.872053,16.32638383
21.836607,22.58112644
21.639904,22.62408123
21.659136,22.63667355
23.164013,24.4724033
24.023054,25.39893077
23.032393,24.0606474
19.399153,19.67064357
27.689093,29.94472644
25.56814,27.82431181
25.702187,27.31305956
32.023575,35.50043261
34.20905,38.27883011
32.86973,35.66256021
34.168198,36.61927318
36.07069,38.93315884
36.283615,38.90666288
38.11701,40.90062506
39.09071,41.91423691
36.173466,37.46401883
35.506435,36.31617092
40.860023,44.81396296
40.78975,43.82165575
40.67421,42.00097577
41.338245,42.40585485
44.085117,47.09951548
44.034744,46.63445079
45.07594,47.92005744
45.664207,48.87117794
45.505745,48.25230862
47.44069,49.78153647
47.27395,49.75414383
47.569065,49.78563896
48.101078,49.78819417
48.640434,49.79073252
48.935688,49.78979539
48.19783,49.78776605
48.60805,49.75247182
47.8365,49.42104991
47.41144,49.48666279
45.583164,46.83639986
45.97455,46.51954397
47.436333,48.92725093
47.9606,49.24351352
48.878902,49.78424337
49.008755,49.78454676
48.46684,49.78079148
47.921696,49.78871667
46.232628,49.78627271
44.665977,49.56271562
46.82224,49.78833238
47.745613,49.78131736
48.40271,49.67578525
48.95629,49.73258975
48.678253,49.4729395
49.352127,49.78497488
48.535435,49.75617317
48.30475,49.76467817
46.625675,48.88432142
46.116966,49.11031236
46.016033,49.50715502
46.24379,49.11137422
46.72042,49.48449524
